
Conex�es ativas

  Proto  Endere�o local         Endere�o externo       Estado           PID
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:7070              [::]:0                 LISTENING       4708
  TCP    [::]:7680              [::]:0                 LISTENING       4108
  TCP    [::]:49664             [::]:0                 LISTENING       1560
  TCP    [::]:49665             [::]:0                 LISTENING       1384
  TCP    [::]:49666             [::]:0                 LISTENING       2152
  TCP    [::]:49667             [::]:0                 LISTENING       3016
  TCP    [::]:49668             [::]:0                 LISTENING       4380
  TCP    [::]:49689             [::]:0                 LISTENING       1464
  TCP    [::1]:80               [::]:0                 LISTENING       19916
  TCP    [::1]:443              [::]:0                 LISTENING       19916
  TCP    [::1]:7679             [::]:0                 LISTENING       40536
  TCP    [::1]:42050            [::]:0                 LISTENING       17620
  TCP    [::1]:49669            [::]:0                 LISTENING       4892
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:49349  [2001:4860:4843:400::]:443  ESTABLISHED     40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:49536  [2800:3f0:4003:c00::bc]:5228  ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:49839  [2a03:2880:f091:106:face:b00c:0:2]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:50838  [2606:4700::6810:6670]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:50936  [2606:4700::6810:4f49]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:51037  [2607:6bc0::10]:443    ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:51130  [2600:1419:d400::1749:d70b]:443  ESTABLISHED     28564
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:51655  [2606:4700:440b::6812:2715]:443  ESTABLISHED     2132
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:51848  [2a03:2880:f383:91:face:b00c:0:6206]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:52072  [2800:3f0:4003:c03::bc]:5228  ESTABLISHED     38636
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:52281  [2606:4700::6812:239]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:52471  [2606:4700::6812:432]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:52581  [2606:4700::6810:4f49]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:52768  [2603:1056:c03:2c00::2]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:52769  [2603:1056:c03:2c00::2]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:53272  [2606:4700:4403::ac40:94eb]:443  ESTABLISHED     23232
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:53386  [2800:3f0:4003:c03::bc]:5228  ESTABLISHED     38636
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:53466  [2001:4860:4841:400::]:443  CLOSE_WAIT      40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:53467  [2001:4860:4841:400::]:443  CLOSE_WAIT      40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:53476  [2001:4860:4840:400::]:443  CLOSE_WAIT      40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:53717  [2606:4700::6810:6670]:443  ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:53779  [2a06:98c1:3101::6812:202f]:443  ESTABLISHED     23232
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:54190  [2606:4700::6810:6770]:443  ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:54839  [2a03:2880:f383:91:face:b00c:0:6206]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:54969  [2001:4860:4841:400::]:443  CLOSE_WAIT      40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:55513  [2a06:98c1:3101::6812:202f]:443  ESTABLISHED     38636
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56079  [2606:4700::6810:6770]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56159  [2606:4700::6811:6fb8]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56183  [2603:1050:6:8::2a3]:443  ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56217  [2001:4860:4841:400::]:443  ESTABLISHED     40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56319  [2606:4700:4403::ac40:94eb]:443  ESTABLISHED     23232
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56389  [2606:4700:4402::6812:25e4]:443  ESTABLISHED     38636
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56695  [2600:1419:4600:a82::11e2]:443  ESTABLISHED     23040
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56699  [2001:4860:4847:400::]:443  ESTABLISHED     40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56702  [2001:4860:4847:400::]:443  ESTABLISHED     40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56705  [2001:4860:4847:400::]:443  ESTABLISHED     40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56708  [2001:4860:4847:400::]:443  ESTABLISHED     40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56711  [2001:4860:4847:400::]:443  ESTABLISHED     40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56714  [2001:4860:4847:400::]:443  ESTABLISHED     40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56721  [2001:4860:4847:400::]:443  ESTABLISHED     40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56724  [2001:4860:4847:400::]:443  ESTABLISHED     40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56965  [2001:4860:4840:400::]:443  CLOSE_WAIT      40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:56982  [2800:3f0:4003:c03::bc]:5228  ESTABLISHED     38636
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:57434  [2800:3f0:4003:c0f::bc]:5228  ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:57466  [2606:4700::6812:12ca]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:57508  [2603:1050:6:8::2a3]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:57560  [2a06:98c1:3103::ac40:9b77]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:58202  [2800:3f0:4001:837::200e]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:58371  [2603:1050:6:8::2a3]:443  ESTABLISHED     42728
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:58372  [2a06:98c1:3101::6812:202f]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:58612  [2606:4700::6811:3c18]:443  ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:58668  [2606:4700:3036::6815:17cd]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:58907  [2a06:98c1:3101::6812:202f]:443  ESTABLISHED     2132
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:58926  [2606:4700:4403::ac40:94eb]:443  ESTABLISHED     38636
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:58929  [2600:1419:d400::1749:d708]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:58982  [2800:3f0:4001:817::2003]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:59861  [2001:4860:4843:400::]:443  ESTABLISHED     40536
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:60144  [2001:4860:4829:400::]:443  ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:60420  [2606:4700::6810:5049]:443  TIME_WAIT       0
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:60740  [2001:4860:4829:400::]:443  ESTABLISHED     19600
  TCP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:60780  [2a06:98c1:3101::6812:202f]:443  ESTABLISHED     19600
